var,mean
x703,0.7347256097937717
x704,0.7341282491730949
x705,0.7347118330099155
x706,0.7358387672918119
x707,0.7354402959785361
x708,0.7351803541738938
x709,0.7344220979088117
x710,0.7357673112517151
x711,0.7357098775007642
x712,0.7355610084882078
x713,0.7349052485396647
x714,0.7351400719191687
x715,0.7362153474278288
x716,0.7340672591579823
x717,0.7345130303442632
x718,0.7351426359873995
x719,0.7357209229589607
x720,0.7349022603602828
x721,0.7350437142660119
x722,0.7356293879588434
x723,0.7346329265856933
x724,0.7358791315847395
x725,0.7367853673302022
x726,0.7356392816795535
x727,0.7349713335013461
x728,0.7321119165918718
x729,0.7360038660406433
x730,0.7353788239177331
x731,0.7355496567558083
x732,0.7357590999466292
x733,0.7344683601697657
x734,0.7349782793283224
x735,0.735369097387475
x736,0.7327082915936973
x737,0.7356222125469695
x738,0.735529315653582
x739,0.7347468115221797
x740,0.7301110500668758
x741,0.7349562578585963
x742,0.7346072608308699
x743,0.7354251852373527
x744,0.7349274088780747
x745,0.7352377416132216
x746,0.7362292147129103
x747,0.7355693799307155
x748,0.735371523590052
x749,0.7340419805753878
x750,0.7345866418474163
x751,0.7356934436234273
x752,0.7328313878795686
x753,0.7348733904547344
x754,0.7356317172253438
x755,0.735747681961313
x756,0.7344833232225025
x757,0.7347175456600973
x758,0.7344631495378368
x759,0.7338216253870465
x760,0.7345105526921403
x761,0.7352238089828091
x762,0.7351314222531465
x763,0.7354316386803563
x764,0.7342924633435578
x765,0.7354392922278381
